e2e (us), eyelink (us), drawing (us)
9064,2095,600
9536,1909,704
8080,1602,596
8632,1711,570
7288,1843,629
6852,1820,635
9528,1616,595
7180,1656,618
5504,1194,632
8756,1695,624
7180,1681,635
7296,1638,609
9080,1651,590
7184,2071,608
6284,1596,617
5940,1643,618
6724,1535,630
8528,1692,613
6848,1444,608
7400,1422,624
5720,1424,614
6396,1485,613
9188,1507,614
6736,1172,610
8416,1467,597
9528,1598,581
7632,1538,604
9760,1905,600
8748,1207,588
9312,1457,586
7860,1472,638
8304,1411,636
7852,2132,610
6400,1399,612
9088,1416,615
6400,2150,636
8184,2201,606
7624,2139,597
6284,1882,595
10084,2167,589
9652,2123,612
9864,1859,563
9088,1643,627
9984,2096,632
9644,2252,608
10096,2166,600
9636,1860,628
8076,1942,627
8304,1460,627
9196,1682,611
7628,1637,627
8528,1704,624
6732,1507,631
6628,1415,627
8192,1409,624
8980,1715,622
9412,2080,619
9204,1633,625
8972,1550,634
6392,1626,641
7844,1505,624
8416,2132,631
8296,1365,586
6624,1532,617
7072,1427,641
6740,1469,639
9088,2216,610
7296,1578,629
8868,1483,601
8408,1537,600
9196,1626,574
7072,2345,595
6068,1353,598
7860,1468,586
10312,2371,620
9760,2123,612
9428,2140,611
9980,2424,629
6844,2201,588
6388,2113,586
10200,2203,608
7628,2197,613
7516,2150,587
7064,2213,612
8072,1588,615
7736,1307,628
9420,1679,611
5956,1620,635
8416,1603,633
7064,1459,620
8748,1402,578
8748,1650,611
8196,1278,649
7964,1680,629
7744,1655,598
9080,1424,583
5720,1456,603
9192,1309,590
8748,1362,607
9300,1503,583
9536,2247,597
6168,1609,603
8856,1469,599
7068,1460,621
6056,1627,628
6400,1499,641
8308,1605,614
5500,1259,614
8308,1327,587
7624,2058,623
6388,1366,631
7848,1200,618
6280,1377,640
9088,1408,628
9088,1694,623
7848,2332,638
7960,2211,601
8752,2140,654
8416,2119,624
6164,1723,625
8188,1944,611
9872,2194,621
8976,1840,630
7632,1655,629
7292,1514,615
6052,1682,638
9412,1698,601
7956,1653,628
8740,1636,580
9756,2153,604
8740,1630,628
9192,1865,626
7964,1608,625
7300,1207,628
9076,1614,586
7856,1291,598
7860,1701,598
6288,1689,611
8516,2185,625
8868,1412,590
6844,1515,590
6400,1499,606
9084,1646,591
9760,2134,591
5952,1498,600
8644,1660,588
7512,1618,606
5616,1449,602
7960,1840,594
9084,1445,590
5728,1535,603
9188,1414,595
5612,1437,588
7632,1715,605
8864,2223,615
9648,2220,601
10092,2264,601
7512,2161,601
9536,1815,623
9984,2089,601
9644,2215,579
6836,1935,572
8868,2245,630
6504,2162,569
7284,1581,636
9308,1925,618
6056,1473,632
9084,2336,600
8188,1676,673
6064,1760,591
8752,1763,578
6168,1548,613
9640,2401,582
6404,1496,585
7964,1448,607
9532,1640,585
5944,1654,602
9536,1466,684
9196,1502,597
6624,1478,582
9312,1548,633
5728,1431,616
9872,2113,612
8744,1441,635
9312,2409,613
5836,1449,615
6280,1432,619
9748,2224,612
8528,2211,638
6172,1513,606
5620,1447,590
9080,2146,636
5616,1349,619
8184,2342,589
7848,2176,577
6392,1453,653
8292,1752,619
8636,2228,618
9748,1822,589
7180,1717,613
10088,2206,596
8968,1663,617
9752,1869,599
8192,1816,605
9648,1729,631
8304,1629,606
6624,1490,589
6948,1704,603
6276,1447,615
7968,1612,608
8744,1630,612
8980,2322,615
8068,1766,613
6616,1517,629
8300,1675,632
7968,1611,617
8520,1369,623
8304,1680,612
9536,1695,633
6164,1476,613
8976,1588,617
7860,1631,631
9540,1591,626
8864,2433,594
9312,2104,588
8976,2349,621
5496,1167,585
9200,2160,590
8972,1503,613
6736,2215,608
9636,1845,584
8640,2231,616
9200,2218,589
8968,2175,619
9528,2245,587
9416,1702,573
6288,1850,589
8192,2181,579
8516,1685,591
7396,2078,582
7856,1740,605
9532,1946,581
8740,1506,618
9532,1705,595
9192,1716,705
8300,1786,632
8752,1583,622
9316,1712,617
8080,1633,648
6404,1638,636
9092,1634,605
9416,1467,620
6056,1470,715
8748,1762,641
8188,2155,600
6952,1499,589
5840,1510,625
7296,1528,620
9084,1560,638
8416,2323,631
9300,1590,617
8192,1524,625
5952,1454,621
7292,1419,606
8408,1840,633
9636,1571,622
7292,1518,601
9420,1935,586
8528,2423,602
9528,1758,585
9412,2116,607
10096,2205,628
8740,2110,604
9304,2094,610
10088,2268,632
9636,2238,633
8852,2220,643
8524,1656,631
7632,2109,611
5836,1604,618
8640,1642,617
9528,1917,616
7964,1657,622
9312,1215,615
6052,1723,609
7400,1480,623
7288,1636,616
6724,1407,603
10436,2407,593
9192,1527,589
5844,1462,583
6516,1630,585
7296,1655,604
5728,1469,593
8752,1588,571
6956,1621,579
6508,1529,576
6164,1507,578
6736,2237,583
6396,1455,579
6948,1540,626
8636,1454,626
7172,2193,618
7964,1190,619
5716,1504,622
7296,2179,630
7964,2141,622
8644,2365,612
8864,1880,617
7964,2232,609
8740,2176,594
9192,2140,588
9196,1393,573
8308,2257,625
8416,1673,598
7400,2122,579
9860,2124,611
9200,1424,602
8976,1699,603
5944,1826,589
9536,1668,616
9088,1720,589
7292,1370,609
9080,1466,603
5724,1433,635
9196,1364,590
9308,1674,580
8408,2123,590
6064,1645,592
6624,1632,626
8520,1639,612
6844,1630,635
9412,1391,612
7180,1509,625
5944,1591,624
6276,1552,634
5836,1560,615
6284,1526,625
6736,1214,607
8524,1472,619
8300,1259,632
9300,1783,651
9416,2202,662
10320,2483,616
8640,2156,599
9420,2383,616
9760,1906,606
9420,2195,628
9976,2241,610
9540,2203,606
8972,1898,635
5836,1481,613
9524,1502,619
8300,1713,633
8188,1834,604
9528,1887,595
9076,1476,578
7848,1681,576
9640,1672,592
6960,1747,581
6280,1475,592
6948,1611,582
9428,2221,592
6060,1472,579
8864,1474,596
10208,2318,587
7176,1526,610
5840,1617,614
7620,1632,634
9304,1616,599
9304,2024,635
6396,1575,585
8968,1485,606
9532,1605,569
